movie_info,tomatometer_status
"A former high school basketball star gets a second shot at life when he's miraculously transformed into a teenager and offered the opportunity to redefine his future. Back in 1989, Mike O' Donnell (Matthew Perry) had it all; not only was the 17-year-old senior the king of the basketball court, but college scouts were circling as well. But just as Mike's future began to glow brighter than ever before, he sacrificed everything in order to stay by his expectant girlfriend, Scarlet, and be a good father. Nearly 20 years later, Mike has just been passed over for a big promotion at work, his marriage is failing, and his teenage kids can't stand him. His dreams long gone and his family falling apart, Mike takes to staying with his best friend, Ned (Thomas Lennon), a former high school geek-turned-techno billionaire. Then, seemingly out of nowhere, Mike is transported back into his teenage body and given the given the unique opportunity to relive his salad days. But while Mike may look 17 again, his thirtysomething outlook at life puts him hopelessly at odds with the class of 2009. When Mike discovers that by attempting to recapture his best years he could risk losing all the best things he ever experienced in life, the time comes to make a decision that could have a drastic impact on both his past and his future. ~ Jason Buchanan, Rovi",Rotten
"You'll be seeing stars and stripes as the most fascinating leaders in American history come to life in 1776, a musical about the birth of a nation! With the Boston Harbor still stained from over-taxed British tea, a revolution is brewing in the colonies! And now England has thousands of troops headed for America's shores to squelch her subjects' freedom-loving spirit!",Fresh
"It's December of 1941, and the people of California are in varying states of unease, ranging from a sincere desire to defend the country to virtual blind panic in the wake of the Japanese attack on Pearl Harbor. Thus begin several story threads that comprise the ""plot"" of this strange period comedy, a sort of satirical disaster movie, from Steven Spielberg. The stories and story threads involve lusty young men, officers (Tim Matheson) and civilians (Bobby Di Cicco) alike, eager to bed the young ladies of their dreams; Wild Bill Kelso, a nutty fighter pilot (John Belushi) following what he thinks is a squadron of Japanese fighters along the California coast; a well-meaning but clumsy tank crew (including John Candy) led by straight-arrow, by-the-book Sgt. Tree (Dan Aykroyd), who doesn't recognize the thug (Treat Williams) in his command; and homeowner Ward Douglas (Ned Beatty), who is eager to do his part for the nation's defense and, despite the misgivings of his wife (Lorraine Gary), doesn't mind his front yard overlooking the ocean being chosen to house a 40 mm anti-aircraft gun. There is also a pair of grotesquely inept airplane spotters (Murray Hamilton, Eddie Deezen) who are doing their job from atop a ferris wheel at a beachfront amusement park; a paranoid army colonel (Warren Oates) positive that the Japanese are infiltrating from the hills; a big dance being held on behalf of servicemen, being attended by a lusty young woman of size (Wendie Jo Sperber) eager to land a man in uniform; and General Joseph ""Vinegar Joe"" Stillwell (Robert Stack), in charge of the defense of the West Coast, who can't seem to get anyone to listen to him when he says to keep calm. And, oh yes, there's also a real Japanese submarine that has gotten all the way to the California coast under the command of its captain (Toshiro Mifune) and a German officer observer (Christopher Lee), only to find itself without a working compass or usable maps. Its captain won't leave until the sub has attacked a militarily significant, honorable target, and the only one that anyone aboard ship knows of in California is Hollywood. By New Year's Eve, all of these characters are going to cross paths, directly or once-removed, in a comedy of errors and destruction strongly reminiscent of the finale to National Lampoon's Animal House (as well as several disaster movies from the same studio), but on a much larger and more impressive scale.",Rotten
"Tim Brown is a devoted family man who has worked hard to provide a good life for his wife Shenae and daughter Maya. But all is threatened when Shenae's old boyfriend returns from prison and lures her back into a dangerous lifestyle. Though his wife has abandoned him, Tim refuses to give up hope, fighting against impossible odds to bring his family back together in this powerful drama.",Fresh
"Vin Diesel opted to not appear in the sequel to the film the shot him to stardom in the first place, The Fast and the Furious. With the character of Dominic Toretto out of the picture, 2 Fast 2 Furious concentrates exclusively on the latest exploits of undercover agent Brian O'Connor, played by Paul Walker. In addition, with director Rob Cohen passing, producers have added a dash of credibility to the sequel by hiring John Singleton to helm. What does completely remain from the first film is the presence of fast-living underground street-racing gangs. Moving from Los Angeles to Miami, O'Connor is looking to redeem himself after the events of the first movie, so he again goes undercover to infiltrate another group of thuggish car enthusiasts. This time around he's enlisted the help of ex-con Roman Pierce (Tyrese) and fellow agent Monica Celemente (Eva Mendes) to bring down Carter Verone (Cole Hauser), an importer/exporter who heads up a massive drug trafficking operation. Heading up the supporting cast are hip-hop stars Ludacris and Fabolous. ~ Matthew Tobey, Rovi",Rotten
"Two crooked undercover officers - one from the DEA and the other from the Navy - unknowingly lead investigations on the other in this crime thriller from director Baltasar Kormakur. Mark Wahlberg, Denzel Washington, and Bill Paxton head up the starring cast. ~ Jeremy Wheeler, Rovi",Fresh
"Millions know their voices, but no one knows their names. In his compelling new film 20 FEET FROM STARDOM, award-winning director Morgan Neville shines a spotlight on the untold true story of the backup singers behind some of the greatest musical legends of the 21st century. Triumphant and heartbreaking in equal measure, the film is both a tribute to the unsung voices who brought shape and style to popular music and a reflection on the conflicts, sacrifices and rewards of a career spent harmonizing with others. These gifted artists span a range of styles, genres and eras of popular music, but each has a uniquely fascinating and personal story to share of life spent in the shadows of superstardom. Along with rare archival footage and a peerless soundtrack, 20 FEET FROM STARDOM boasts intimate interviews with Bruce Springsteen, Stevie Wonder, Mick Jagger and Sting to name just a few. However, these world-famous figures take a backseat to the diverse array of backup singers whose lives and stories take center stage in the film. (c) TWC-Radius",Fresh
"This 1954 Disney version of Jules Verne's 20,000 Leagues Under the Sea represented the studio's costliest and most elaborate American-filmed effort to date. Kirk Douglas plays a trouble-shooting 19th century seaman, trying to discover why so many whaling ships have been disappearing of late. Teaming with scientist Paul Lukas and diver Peter Lorre, Douglas sets sail to investigate--and is promptly captured by the megalomaniac Captain Nemo (James Mason), who skippers a lavish, scientifically advanced submarine. The film's special effects, including a giant squid, were impressive enough in 1954 to win an Academy Award. ~ Hal Erickson, Rovi",Fresh
"A mind-bending sci-fi symphony, Stanley Kubrick's landmark 1968 epic pushed the limits of narrative and special effects toward a meditation on technology and humanity. Based on Arthur C. Clarke's story The Sentinel, Kubrick and Clarke's screenplay is structured in four movements. At the ""Dawn of Man,"" a group of hominids encounters a mysterious black monolith alien to their surroundings. To the strains of Strauss's 1896 Also sprach Zarathustra, a hominid invents the first weapon, using a bone to kill prey. As the hominid tosses the bone in the air, Kubrick cuts to a 21st century spacecraft hovering over the Earth, skipping ahead millions of years in technological development. U.S. scientist Dr. Heywood Floyd (William Sylvester) travels to the moon to check out the discovery of a strange object on the moon's surface: a black monolith. As the sun's rays strike the stone, however, it emits a piercing, deafening sound that fills the investigators' headphones and stops them in their path. Cutting ahead 18 months, impassive astronauts David Bowman (Keir Dullea) and Frank Poole (Gary Lockwood) head toward Jupiter on the spaceship Discovery, their only company three hibernating astronauts and the vocal, man-made HAL 9000 computer running the entire ship. When the all-too-human HAL malfunctions, however, he tries to murder the astronauts to cover his error, forcing Bowman to defend himself the only way he can. Free of HAL, and finally informed of the voyage's purpose by a recording from Floyd, Bowman journeys to ""Jupiter and Beyond the Infinite,"" through the psychedelic slit-scan star-gate to an 18th century room, and the completion of the monolith's evolutionary mission.With assistance from special-effects expert Douglas Trumbull, Kubrick spent over two years meticulously creating the most ""realistic"" depictions of outer space ever seen, greatly advancing cinematic technology for a story expressing grave doubts about technology itself. Despite some initial critical reservations that it was too long and too dull, 2001 became one of the most popular films of 1968, underlining the generation gap between young moviegoers who wanted to see something new and challenging and oldsters who ""didn't get it."" Provocatively billed as ""the ultimate trip,"" 2001 quickly caught on with a counterculture youth audience open to a contemplative (i.e. chemically enhanced) viewing experience of a film suggesting that the way to enlightenment was to free one's mind of the U.S. military-industrial-technological complex. ~ Lucia Bozzola, Rovi",Fresh
"Disaster movie maven Roland Emmerich (Independence Day, The Day After Tomorrow) crafts this apocalyptic sci-fi thriller following the prophecy stated by the ancient Mayan calendar, which says that the world will come to an end on December 21, 2012. When a global cataclysm thrusts the world into chaos, divorced writer and father Jackson Curtis (John Cusack) joins the race to ensure that humankind is not completely wiped out. Chiwetel Ejiofor, Danny Glover, Amanda Peet, Thandie Newton, and Oliver Platt round out the cast of this end-of-the-world thriller co-scripted by the director and his 10,000 B.C. writer/composer, Harald Kloser.",Rotten
"2016 Obama's America takes audiences on a gripping visual journey into the heart of the world's most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, ""If Obama wins a second term, where will we be in 2016?"" Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to America's ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Love him or hate him, you don't know him. -- (C) Official Site",Rotten
"Ben Campbell is a shy, brilliant M.I.T. student who--needing to pay school tuition--finds the answers in the cards. He is recruited to join a group of the school's most gifted students that heads to Vegas every weekend armed with fake identities and the know-how to turn the odds at blackjack in their favor. With unorthodox math professor and stats genius Micky Rosa leading the way, they've cracked the code. By counting cards and employing an intricate system of signals, the team can beat the casinos big time. Seduced by the money, the Vegas lifestyle, and by his smart and sexy teammate, Jill Taylor, Ben begins to push the limits. Though counting cards isn't illegal, the stakes are high, and the challenge becomes not only keeping the numbers straight, but staying one step ahead of the casinos' menacing enforcer: Cole Williams.",Rotten
"College professor Paul Rivers and his wife Mary find their union precariously balanced between life and death. He is mortally ill and awaiting a heart transplant, while she hopes to become pregnant with his child through artificial insemination. Cristina Peck, having matured since her reckless past, is a beloved older sister to Claudia, a good wife to Michael and loving mother to two little girls. Her family radiates hope and joy. Much farther down the socioeconomic scale, ex-con Jack Jordan and his wife Marianne struggle to provide for their two children while Jack reaffirms his commitment to religion. A tragic accident that claims several lives places these couples in each other's orbit. In the aftermath, Paul confronts his own mortality, Cristina takes action to come to terms with her present and perhaps her future, and Jack's faith is put to the test. If spiritual equilibrium is to be regained by any one of them, it could come at great cost to the others. Yet the will to live, and the instinct to reach out to another person for support, remains ever present among them all.",Fresh
"In the action-comedy 21 Jump Street, Schmidt (Jonah Hill) and Jenko (Channing Tatum) are more than ready to leave their adolescent problems behind. Joining the police force and the secret Jump Street unit, they use their youthful appearances to go undercover in a local high school. As they trade in their guns and badges for backpacks, Schmidt and Jenko risk their lives to investigate a violent and dangerous drug ring. But they find that high school is nothing like they left it just a few years earlier - and neither expects that they will have to confront the terror and anxiety of being a teenager again and all the issues they thought they had left behind. -- (C) Sony Pictures",Fresh
"Straight-A college student Jeff Chang has always done what he was supposed to do. But when his two best friends Casey and Miller surprise him with a visit for his 21st birthday, Jeff Chang decides to do everything he wants to do for a change, even though his important medical school interview is early the next morning. What was supposed to be one beer becomes a night of humiliation, over indulgence and utter debauchery in this coming-of-drinking-age-comedy, from the writers of THE HANGOVER, about living youth to its fullest.",Rotten
"After making their way through high school (twice), big changes are in store for officers Schmidt (Jonah Hill) and Jenko (Channing Tatum) when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them. (c) Sony",Fresh
"The clock is ticking on Monty Brogan's freedom--in 24 hours he goes to prison for seven long years. Once a king of Manhattan, Monty is about to say goodbye to the life he knew--a life that opened doors in New York's swankiest clubs but also alienated him from the people closest to him. In his last day on the outside, Monty tries to reconnect with his father, who's never given up on his son, and gets together with his two closest friends from the old days, Jacob and Slaughtery. Also in the mix is his girlfriend, Naturelle, who (or might not) have been the one who tipped off the cops. Monty's not sure of much these days. But with time running out, there are a lot of choices to be made.",Fresh
"Jane is an idealistic, romantic and completely selfless woman--a perennial bridal attendant whose own happy ending is nowhere in sight. But, when younger sister Tess captures the heart of Jane's boss--with whom she is secretly in love--Jane begins to reexamine her ""always-a-bridesmaid"" lifestyle.",Rotten
"Gwen Cummings is a successful New York writer living life in the fast lane and everyone's favorite party girl. She shares this roller-coaster lifestyle of hopping from dance club to bar to hangover with boyfriend Jasper-handsome, magnetic and equally attracted to life on the wild side. Life is just an exercise in debauchery-until Gwen's ungraceful display at her sister Lily's wedding, when she gets drunk, commandeers the limo and earns herself a DUI and 28 days in court-ordered rehab. There, Gwen comes face to face with a unique set of rules (like no cell phones) and rituals (like chanting) embraced by an assortment of fascinating fellow re-habbers: Eddie, Gerhardt, Oliver, Andrea, Roshanda, and Billie Jean. A jaded city girl to the core, Gwen is determined not to conform. Then she meets Counselor Cornell, who begins to break through her carefully constructed defenses and force her to take a closer look at who she really is. Ultimately, through the companionship of her group as well as a devastating loss, Gwen gradually loses her cynicism and begins the long struggle to take back her life. Maybe, she discovers, your insides can match your outsides.",Rotten
"Hannah and Simon have been a couple for 20 years. They live in Berlin, side by side in combative harmony. They are attractive, modern, mature, childless, cultivated, down-to-earth. Affairs, wanting children, moving in together, miscarriage, fleeing and returning; this anchorwoman and art technician have put a lot behind them, but they don't have so much ahead of them anymore. That is until both, without knowing about the other's actions, fall in love with the same man, Adam. -- (C) Strand",Rotten
The story of four inhabitants of the same suburban town over the course of one curious autumn day.,Fresh
"In this heart pounding action-thriller, Kevin Costner is a dangerous international spy, who is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter, whom he's previously kept at arm's length to keep out of danger. But first, he must complete one last mission- even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town. (c) Relativity",Rotten
"The sequel to the 1992 Disney film ""3 Ninjas,"" this action-comedy follows the adventures of three young Japanese-American boys as they attempt to help their ninja master grandfather return a sacred dagger to a karate tourney in Japan before they have to return to L.A. for their baseball play-off game.",Rotten
"In Barrow, Alaska, the northernmost town in the United States, the winter sun sets and does not rise for 30 days and nights. From the darkness comes an evil force that strikes terror on the town, and all hope is pinned on a husband-and-wife cop team.",Rotten
"In the action-comedy 30 Minutes or Less, Nick (Jesse Eisenberg) is a small town pizza delivery guy whose mundane life collides with the big plans of two wanna-be criminal masterminds (Danny McBride and Nick Swardson). The volatile duo kidnaps Nick and forces him to rob a bank. With mere hours to pull off the impossible task, Nick enlists the help of his ex-best friend, Chet (Aziz Ansari). As the clock ticks, the two must deal with the police, hired assassins, flamethrowers, and their own tumultuous relationship. -- (C) Sony",Rotten
"Sin City author Frank Miller's sweeping take on the historic Battle of Thermopylae comes to the screen courtesy of Dawn of the Dead director Zack Snyder. Gerard Butler stars as Spartan King Leonidas and Lena Headey plays Queen Gorgo. The massive army of the Persian Empire is sweeping across the globe, crushing every force that dares stand in its path. When a Persian envoy arrives in Sparta offering King Leonidas power over all of Greece if he will only bow to the will of the all powerful Xerxes (Rodrigo Santoro), the strong-willed leader assembles a small army comprised of his empire's best fighters and marches off to battle. Though they have virtually no hope of defeating Xerxes' intimidating battalion, Leonidas' men soldier on, intent on letting it be known they will bow to no man but their king. Meanwhile, back in Sparta, the loyal Queen Gorgo attempts to convince both the skeptical council and the devious Theron (Dominic West) to send more troops despite the fact that many view Leonidas' unsanctioned war march as a serious transgression. As Xerxes' fearsome ""immortals"" draw near, a few noble Greeks vow to assist the Spartans on the battlefield. When King Leonidas and his 300 Spartan warriors fell to the overwhelming Persian army at the Battle of Thermopylae, the fearless actions of the noble fighters inspired all of Greece to stand up against their Persian enemy and wage the battle that would ultimately give birth to the modern concept of democracy. ~ Jason Buchanan, Rovi",Fresh
"After squaring off in 1995 with competing movie biographies of frontier lawman Wyatt Earp, actors Kurt Russell and Kevin Costner co-star in this action crime caper as former cronies engaged in a series of double-crosses over some stolen loot. Michael Zane (Russell) and Thomas Murphy (Costner) are the leaders of a gang of ex-convict thieves using an Elvis Presley impersonator convention to pull off a daring heist in a Las Vegas casino. The gang also includes Gus (David Arquette), Hanson (Bokeem Woodbine), and Franklin (Christian Slater). Although they manage to retrieve the money, the crooks turn on each other in bloody fashion and Murphy (who believes he's actually the illegitimate son of Elvis) makes off with the illegal funds. In hot pursuit are the police and Michael, who's encumbered by his girlfriend Cybil (Courtney Cox-Arquette) and her young son Jesse James. Written and directed by music video creator Demian Lichtenstein, 3000 Miles to Graceland also stars Kevin Pollak, Ice-T, and Howie Long.",Rotten
"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield-on the sea-as Greek general Themistokles (Sullivan Stapleton) attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes (Rodrigo Santoro), and Artemisia (Eva Green), vengeful commander of the Persian navy. (c) WB",Rotten
"31 tells the story of five carnies in 1976 kidnapped on the morning of Halloween and held hostage in a remote industrial Hell. While trapped, they are forced to play a violent game called 31. The mission is to survive 12 hours against an endless gang of grease-painted maniacs.",Rotten
"Desperate for money, frontier rancher Van Heflin holds outlaw Glenn Ford at gunpoint, intending to collect the $200 reward. While both men await the train to Yuma that will escort Ford to prison, the cagey outlaw offers Heflin $10,000 if he'll set Ford free. The rest of the film is a sweat-inducing cat-and-mouse game between captive and captor, interrupted with bursts of violence from both Ford's gang (commandeered by Richard Jaeckel) and the vacillating townsfolk.",Fresh
"Following memorable roles in the military action-adventures Pearl Harbor (2001) and Black Hawk Down (2001), young actor Josh Hartnett is propelled to romantic leading man status with this semi-autobiographical comedy from screenwriter Rob Perez. Hartnett stars as Matt Sullivan, a young man smarting over the bitter breakup of his most recent relationship. With Lent approaching, Matt decides to observe the 40-day tradition by abstaining from all sexual contact, including self-gratification. Once his odyssey of discipline has begun, he meets the girl of his dreams, while his ex begins campaigning to get him back. Co-starring Shannyn Sossamon, Maggie Gyllenhaal, and Vinessa Shaw, 40 Days and 40 Nights inspired another round of controversy between distributor Miramax and the Catholic League, which accused the film of being a ""vulgar parody"" of Lent. The League previously protested the company's releases of Priest (1994) and Dogma (1999). ~ Karl Williams, Rovi",Rotten
"Hero is a word we hear often in sports, but heroism is not always about achievements on the field of play. ""42"" tells the story of two men-the great Jackie Robinson and legendary Brooklyn Dodgers GM Branch Rickey-whose brave stand against prejudice forever changed the world by changing the game of baseball. In 1946, Branch Rickey (Harrison Ford) put himself at the forefront of history when he signed Jackie Robinson (Chadwick Boseman) to the team, breaking Major League Baseball's infamous color line. But the deal also put both Robinson and Rickey in the firing line of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and restraint by not reacting in kind, knowing that any incident could destroy his and Rickey's hopes. Instead, Number 42 let his talent on the field do the talking-ultimately winning over fans and his teammates, silencing his critics, and paving the way for others to follow. (c) WB",Fresh
"Julian Marsh, a successful Broadway director, produces a new show, in spite of his poor health. The money comes from a rich older man, who is in love with the star of the show, Dorothy Brock. But Dorothy doesn't respond to his love, because she's still in love with her old partner. On the night before the premiere, Dorothy breaks her ankle, and Peggy Sawyer, one of the chorus girls, tries to take over Dorothy's part.",Fresh
