,MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross,Profit,IsProfitable
25,up,up.html,175000000.0,293004164.0,731463377.0,556463377.0,True
26,coco,coco.html,175000000.0,209726015.0,798001982.0,623001982.0,True
27,g.i. joe: the rise of cobra,g.i.-joe:-the-rise-of-cobra.html,175000000.0,150201498.0,302469017.0,127469017.0,True
28,wild wild west,wild-wild-west.html,175000000.0,113805681.0,221229335.0,46229335.0,True
29,47 ronin,ronin.html,175000000.0,38362475.0,151716815.0,-23283185.0,False
30,dawn of the planet of the apes,war-for-the-planet-of-the-apes.html,170000000.0,208545589.0,710644566.0,540644566.0,True
31,snow white and the huntsman,snow-white-and-the-huntsman.html,170000000.0,155136755.0,401021746.0,231021746.0,True
32,shrek forever after,celeste-&-jesse-forever.html,165000000.0,238736787.0,756244673.0,591244673.0,True
33,how to train your dragon,how-to-train-your-dragon.html,165000000.0,217581232.0,494870992.0,329870992.0,True
34,interstellar,interstellar.html,165000000.0,188017894.0,665270476.0,500270476.0,True
35,cowboys and aliens,cowboys-&-aliens.html,163000000.0,100368560.0,176038324.0,13038324.0,True
36,beauty and the beast,beauty-and-the-beast.html,160000000.0,504014165.0,1259199706.0,1099199706.0,True
37,shrek the third,shrek-the-third.html,160000000.0,322719944.0,807330936.0,647330936.0,True
38,inception,inception.html,160000000.0,292576195.0,835524642.0,675524642.0,True
39,godzilla,godzilla.html,160000000.0,200676069.0,529076069.0,369076069.0,True
40,the curious case of benjamin button,"curious-case-of-benjamin-button,-the.html",160000000.0,127509326.0,329631958.0,169631958.0,True
41,war for the planet of the apes,war-for-the-planet-of-the-apes.html,152000000.0,146880162.0,489592267.0,337592267.0,True
42,pearl harbor,pearl-harbor.html,151500000.0,198539855.0,449239855.0,297739855.0,True
43,wonder woman,wonder-woman.html,150000000.0,412563408.0,821133378.0,671133378.0,True
44,frozen,frozen.html,150000000.0,400738009.0,1272469910.0,1122469910.0,True
45,zootopia,zootopia.html,150000000.0,341268248.0,1019429616.0,869429616.0,True
46,harry potter and the goblet of fire,harry-potter-and-the-goblet-of-fire.html,150000000.0,290201752.0,897099794.0,747099794.0,True
47,the matrix reloaded,"matrix-reloaded,-the.html",150000000.0,281553689.0,738576929.0,588576929.0,True
48,i am legend,legend.html,150000000.0,256393010.0,585532684.0,435532684.0,True
49,hancock,hancock.html,150000000.0,227946274.0,624234272.0,474234272.0,True
50,batman begins,batman-begins.html,150000000.0,205343774.0,359142722.0,209142722.0,True
51,thor,thor.html,150000000.0,181030624.0,449326618.0,299326618.0,True
52,x-men origins: wolverine,x-men-origins:-wolverine.html,150000000.0,179883157.0,374825760.0,224825760.0,True
53,angels & demons,angels-&-demons.html,150000000.0,133375846.0,490875846.0,340875846.0,True
54,troy,troy.html,150000000.0,133298577.0,484161265.0,334161265.0,True
55,wrath of the titans,clash-of-the-titans.html,150000000.0,83670083.0,305270083.0,155270083.0,True
56,how to train your dragon 2,how-to-train-your-dragon-2.html,145000000.0,177002924.0,614586270.0,469586270.0,True
57,rise of the guardians,rise-of-the-guardians.html,145000000.0,103412758.0,306900902.0,161900902.0,True
58,ghostbusters,ghostbusters.html,144000000.0,128350574.0,229008658.0,85008658.0,True
59,star trek,star-trek.html,140000000.0,257730019.0,386839614.0,246839614.0,True
60,armageddon,armageddon.html,140000000.0,201578182.0,554600000.0,414600000.0,True
61,lethal weapon 4,lethal-weapon-4.html,140000000.0,130444603.0,285400000.0,145400000.0,True
62,the last samurai,"last-samurai,-the.html",140000000.0,111110575.0,456810575.0,316810575.0,True
63,spider-man,spider-man.html,139000000.0,403706375.0,821706375.0,682706375.0,True
64,watchmen,watchmen.html,138000000.0,107509799.0,186976250.0,48976250.0,True
65,the croods,into-the-woods.html,135000000.0,187168425.0,573068425.0,438068425.0,True
66,the revenant,"revenant,-the.html",135000000.0,183637894.0,532938302.0,397938302.0,True
67,the world is not enough,"world-is-not-enough,-the.html",135000000.0,126930660.0,361730660.0,226730660.0,True
68,happy feet two,happy-feet.html,135000000.0,64006466.0,157956466.0,22956466.0,True
69,miami vice,miami-vice.html,135000000.0,63478838.0,163818556.0,28818556.0,True
70,war of the worlds,war-of-the-worlds.html,132000000.0,234280354.0,606836535.0,474836535.0,True
71,harry potter and the prisoner of azkaban,harry-potter-and-the-prisoner-of-azkaban.html,130000000.0,249757726.0,796907323.0,666907323.0,True
72,the bourne ultimatum,"bourne-ultimatum,-the.html",130000000.0,227471070.0,444043396.0,314043396.0,True
73,kung fu panda,kung-fu-panda.html,130000000.0,215434591.0,631910531.0,501910531.0,True
74,ant-man,batman.html,130000000.0,180202163.0,518858449.0,388858449.0,True
75,mary poppins returns,mary-poppins.html,130000000.0,171958438.0,340246439.0,210246439.0,True
76,megamind,megamind.html,130000000.0,148415853.0,321887208.0,191887208.0,True
77,bad boys ii,bad-boys.html,130000000.0,138540870.0,273271982.0,143271982.0,True
78,logan,logan.html,127000000.0,226277068.0,615461394.0,488461394.0,True
79,harry potter and the sorcererâs stone,harry-potter-and-the-sorcerer's-stone.html,125000000.0,317871467.0,975047606.0,850047606.0,True
80,clash of the titans,clash-of-the-titans.html,125000000.0,163214888.0,493214888.0,368214888.0,True
81,godzilla,godzilla.html,125000000.0,136314294.0,376000000.0,251000000.0,True
82,prometheus,prometheus.html,125000000.0,126477084.0,402448265.0,277448265.0,True
83,batman & robin,batman-and-robin.html,125000000.0,107325195.0,238317814.0,113317814.0,True
84,total recall,total-recall.html,125000000.0,58877969.0,211856088.0,86856088.0,True
85,the 13th warrior,warrior.html,125000000.0,32698899.0,61698899.0,-63301101.0,False
86,life of pi,life-of-pi.html,120000000.0,124987022.0,620912003.0,500912003.0,True
87,ghost rider,ghost-rider.html,120000000.0,115802596.0,229545589.0,109545589.0,True
88,oblivion,oblivion.html,120000000.0,89107235.0,287916633.0,167916633.0,True
89,robocop,robocop.html,120000000.0,58607007.0,242981799.0,122981799.0,True
90,the fantastic four,fantastic-four.html,120000000.0,56117548.0,167849187.0,47849187.0,True
91,speed racer,speed-racer.html,120000000.0,43945766.0,93394462.0,-26605538.0,False
92,the island,heist.html,120000000.0,35818913.0,163018913.0,43018913.0,True
93,star wars ep. i: the phantom menace,star-wars:-the-phantom-menace.html,115000000.0,474544677.0,1027044677.0,912044677.0,True
94,star wars ep. iii: revenge of the sith,star-wars:-revenge-of-the-sith.html,115000000.0,380270577.0,848998877.0,733998877.0,True
95,star wars ep. ii: attack of the clones,star-wars:-attack-of-the-clones.html,115000000.0,310676740.0,656695615.0,541695615.0,True
96,gravity,gravity.html,110000000.0,274092705.0,693698673.0,583698673.0,True
97,live free or die hard,die-hard.html,110000000.0,134529403.0,382288147.0,272288147.0,True
98,ocean's twelve,ocean's-twelve.html,110000000.0,125531634.0,362989076.0,252989076.0,True
99,tomorrow never dies,tomorrow-never-dies.html,110000000.0,125304276.0,339504276.0,229504276.0,True
100,the patriot,heat.html,110000000.0,113330342.0,215300000.0,105300000.0,True
101,passengers,passengers.html,110000000.0,100014699.0,302239672.0,192239672.0,True
102,ghost in the shell,"sting,-the.html",110000000.0,40563557.0,167910690.0,57910690.0,True
103,the lord of the rings: the fellowship of the ring,"lord-of-the-rings:-fellowship-of-the-ring,-the.html",109000000.0,315544750.0,887210985.0,778210985.0,True
104,ali,ali.html,109000000.0,58183966.0,87683966.0,-21316034.0,False
105,the martian,"martian,-the.html",108000000.0,228433663.0,655271443.0,547271443.0,True
106,"i, robot","i,-robot.html",105000000.0,144801023.0,348629585.0,243629585.0,True
107,gone in 60 seconds,gone-in-60-seconds.html,103300000.0,101643008.0,232643008.0,129343008.0,True
108,gladiator,gladiator.html,103000000.0,187683805.0,457683805.0,354683805.0,True
109,public enemies,public-enemies.html,102500000.0,97104620.0,212282709.0,109782709.0,True
110,casino royale,casino.html,102000000.0,167365000.0,594420283.0,492420283.0,True
111,minority report,minority-report.html,102000000.0,132024714.0,358824714.0,256824714.0,True
112,harry potter and the chamber of secrets,harry-potter-and-the-chamber-of-secrets.html,100000000.0,262233381.0,879225135.0,779225135.0,True
113,terminator 2: judgment day,terminator-2:-judgement-day.html,100000000.0,203464105.0,515419827.0,415419827.0,True
114,batman forever,batman-forever.html,100000000.0,184031112.0,336529144.0,236529144.0,True
115,planet of the apes,"planet-of-the-apes,-the.html",100000000.0,180011740.0,362211740.0,262211740.0,True
116,django unchained,django-unchained.html,100000000.0,162805434.0,449948323.0,349948323.0,True
117,true lies,true-lies.html,100000000.0,146282411.0,365300000.0,265300000.0,True
118,american gangster,american-gangster.html,100000000.0,130164645.0,267985456.0,167985456.0,True
119,the wolf of wall street,"wolf-of-wall-street,-the.html",100000000.0,116900694.0,389870414.0,289870414.0,True
120,where the wild things are,wild-things.html,100000000.0,77233467.0,99123656.0,-876344.0,False
121,the tourist,thelma-&-louise.html,100000000.0,67631157.0,278731369.0,178731369.0,True
122,surf's up,superfights.html,100000000.0,58867694.0,145395745.0,45395745.0,True
123,starship troopers,starship-troopers.html,100000000.0,54768952.0,121100000.0,21100000.0,True
124,catwoman,catwoman.html,100000000.0,40202379.0,82145379.0,-17854621.0,False
125,point break,point-break.html,100000000.0,28782481.0,126704591.0,26704591.0,True
126,gangs of new york,gangs-of-new-york.html,97000000.0,77730500.0,183124621.0,86124621.0,True
127,the fifth element,"fifth-element,-the.html",95000000.0,63570862.0,263898761.0,168898761.0,True
128,the lovely bones,hellboy.html,95000000.0,44114232.0,94894448.0,-105552.0,False
129,finding nemo,finding-nemo.html,94000000.0,380529370.0,936429370.0,842429370.0,True
130,the lord of the rings: the return of the king,lord-of-the-rings:-return-of-the-king.html,94000000.0,377845905.0,1141403341.0,1047403341.0,True
131,the lord of the rings: the two towers,lord-of-the-rings:-the-two-towers.html,94000000.0,342548984.0,934699645.0,840699645.0,True
132,jurassic park iii,jurassic-park-iii.html,93000000.0,181166115.0,365900000.0,272900000.0,True
133,rise of the planet of the apes,rise-of-the-planet-of-the-apes.html,93000000.0,176760185.0,470986200.0,377986200.0,True
134,the incredibles,"incredibles,-the.html",92000000.0,261441092.0,614726752.0,522726752.0,True
135,a good day to die hard,as-good-as-it-gets.html,92000000.0,67349198.0,304249198.0,212249198.0,True
136,the secret life of walter mitty,"secret-life-of-walter-mitty,-the.html",91000000.0,58236838.0,187861183.0,96861183.0,True
137,men in black,men-in-black.html,90000000.0,250690539.0,587790539.0,497790539.0,True
138,rush hour 2,rush-hour-2.html,90000000.0,226164286.0,347425832.0,257425832.0,True
139,sherlock holmes,sherlock-holmes.html,90000000.0,209028679.0,498438212.0,408438212.0,True
140,what lies beneath,what-lies-beneath.html,90000000.0,155464351.0,288693989.0,198693989.0,True
141,the departed,"departed,-the.html",90000000.0,132384315.0,289660619.0,199660619.0,True
142,charlie's angels,charlie's-angels.html,90000000.0,125305545.0,259736090.0,169736090.0,True
143,mulan,mulan.html,90000000.0,120620254.0,303500000.0,213500000.0,True
144,tropic thunder,tropic-thunder.html,90000000.0,110515313.0,191145256.0,101145256.0,True
145,the girl with the dragon tattoo,"girl-with-the-dragon-tattoo,-the.html",90000000.0,102515793.0,239373970.0,149373970.0,True
146,contact,contact.html,90000000.0,100920329.0,165900000.0,75900000.0,True
147,valkyrie,valkyrie.html,90000000.0,83107829.0,203932174.0,113932174.0,True
148,hollow man,hollow-man.html,90000000.0,73209340.0,191200000.0,101200000.0,True
149,the saint,three-kings.html,90000000.0,61363304.0,169400000.0,79400000.0,True
150,mission to mars,mission-to-mars.html,90000000.0,60874615.0,106000000.0,16000000.0,True
151,king arthur,arthur.html,90000000.0,51877963.0,203877963.0,113877963.0,True
152,conan the barbarian,conan-the-barbarian.html,90000000.0,21295021.0,63356133.0,-26643867.0,False
153,the three musketeers,"three-musketeers,-the.html",90000000.0,20377913.0,139877913.0,49877913.0,True
154,army of the dead,day-of-the-dead.html,90000000.0,0.0,0.0,-90000000.0,False
155,the predator,predator.html,88000000.0,51024708.0,159487563.0,71487563.0,True
156,fantastic four,fantastic-four.html,87500000.0,154696080.0,333132750.0,245632750.0,True
157,hannibal,hannibal.html,87000000.0,165092266.0,350100280.0,263100280.0,True
158,cast away,cast-away.html,85000000.0,233632142.0,427230516.0,342230516.0,True
159,happy feet,happy-feet.html,85000000.0,198000317.0,385000317.0,300000317.0,True
160,ocean's eleven,ocean's-eleven.html,85000000.0,183417150.0,450728529.0,365728529.0,True
161,the bourne supremacy,"bourne-supremacy,-the.html",85000000.0,176087450.0,311001124.0,226001124.0,True
162,air force one,air-force-one.html,85000000.0,172956409.0,315268353.0,230268353.0,True
163,itâs complicated,it's-complicated.html,85000000.0,112735375.0,224614744.0,139614744.0,True
164,enemy of the state,enemy-of-the-state.html,85000000.0,111549836.0,250649836.0,165649836.0,True
165,tower heist,thor.html,85000000.0,78046570.0,150422946.0,65422946.0,True
166,arthur christmas,arthur.html,85000000.0,46462469.0,149717124.0,64717124.0,True
167,meet joe black,meet-joe-black.html,85000000.0,44650003.0,44650003.0,-40349997.0,False
168,collateral damage,collateral-damage.html,85000000.0,40048332.0,78353508.0,-6646492.0,False
169,judge dredd,judge-dredd.html,85000000.0,34687912.0,113487912.0,28487912.0,True
170,scott pilgrim vs. the world,scott-pilgrim-vs-the-world.html,85000000.0,31611316.0,48056764.0,-36943236.0,False
171,hellboy ii: the golden army,hellboy-2:-the-golden-army.html,82500000.0,75986503.0,160388063.0,77888063.0,True
172,bruce almighty,bruce-almighty.html,81000000.0,242704995.0,484468608.0,403468608.0,True
173,the lego batman movie,batman.html,80000000.0,175750384.0,310660018.0,230660018.0,True
174,batman returns,batman-returns.html,80000000.0,162833635.0,266824291.0,186824291.0,True
175,the mummy,they.html,80000000.0,155385488.0,416385488.0,336385488.0,True
176,something's gotta give,something's-gotta-give.html,80000000.0,124685242.0,266685242.0,186685242.0,True
177,face/off,face-off.html,80000000.0,112276146.0,241200000.0,161200000.0,True
178,just go with it,mute-witness.html,80000000.0,103028109.0,214974953.0,134974953.0,True
179,eagle eye,eagle-eye.html,80000000.0,101440743.0,180585259.0,100585259.0,True
180,cold mountain,cold-mountain.html,80000000.0,95632614.0,165173909.0,85173909.0,True
181,the book of eli,"book-of-eli,-the.html",80000000.0,94835059.0,158750817.0,78750817.0,True
182,the haunting,"haunting,-the.html",80000000.0,91188905.0,180188905.0,100188905.0,True
183,fury,fury.html,80000000.0,85817906.0,210315681.0,130315681.0,True
184,the day the earth stood still,"day-the-earth-stood-still,-the.html",80000000.0,79366978.0,237370350.0,157370350.0,True
185,swordfish,swordfish.html,80000000.0,69772969.0,147080413.0,67080413.0,True
186,lost in space,lost-in-space.html,80000000.0,69117629.0,136047317.0,56047317.0,True
187,the manchurian candidate,"manchurian-candidate,-the.html",80000000.0,65948711.0,96148711.0,16148711.0,True
188,the time machine,hot-tub-time-machine.html,80000000.0,56684819.0,98983590.0,18983590.0,True
189,mighty joe young,mighty-joe-young.html,80000000.0,50632037.0,50632037.0,-29367963.0,False
190,the legend of zorro,legend.html,80000000.0,45575336.0,141475336.0,61475336.0,True
191,little nicky,little-nicky.html,80000000.0,39442871.0,58270391.0,-21729609.0,False
192,surrogates,surrogates.html,80000000.0,38577772.0,119668350.0,39668350.0,True
193,the wild,into-the-wild.html,80000000.0,37384046.0,99010667.0,19010667.0,True
194,thirteen days,thirteen-days.html,80000000.0,34566746.0,66554547.0,-13445453.0,False
195,nine,nine.html,80000000.0,19676965.0,53508858.0,-26491142.0,False
196,the postman,repo-man.html,80000000.0,17650704.0,20841123.0,-59158877.0,False
197,red planet,red-planet.html,80000000.0,17480890.0,33463969.0,-46536031.0,False
198,arthur et les minimoys,arthur.html,80000000.0,15132763.0,113325743.0,33325743.0,True
199,the lion king,"lion-king,-the.html",79300000.0,421785283.0,986214868.0,906914868.0,True
200,despicable me 2,despicable-me-2.html,76000000.0,368065385.0,975216835.0,899216835.0,True
201,the adventures of rocky & bullwinkle,heavenly-creatures.html,76000000.0,26000610.0,35129610.0,-40870390.0,False
202,the secret life of pets,"secret-life-of-walter-mitty,-the.html",75000000.0,368384330.0,886606412.0,811606412.0,True
203,independence day,independence-day.html,75000000.0,306169255.0,817400878.0,742400878.0,True
204,despicable me 3,despicable-me-2.html,75000000.0,264624300.0,1034724710.0,959724710.0,True
205,the lost world: jurassic park,jurassic-park.html,75000000.0,229086679.0,618638999.0,543638999.0,True
206,x-men,x-men.html,75000000.0,157299717.0,296872367.0,221872367.0,True
207,wanted,wanted.html,75000000.0,134508551.0,342416460.0,267416460.0,True
208,the rock,bottle-rocket.html,75000000.0,134069511.0,336069511.0,261069511.0,True
209,the terminal,terminator.html,75000000.0,77073959.0,218673959.0,143673959.0,True
210,constantine,constantine.html,75000000.0,75976178.0,221594911.0,146594911.0,True
211,life,life.html,75000000.0,64062587.0,73521587.0,-1478413.0,False
212,spanglish,spanglish.html,75000000.0,42044321.0,54344321.0,-20655679.0,False
213,hostage,hostage.html,75000000.0,34636443.0,77636443.0,2636443.0,True
214,flight of the phoenix,"last-flight,-the.html",75000000.0,21009180.0,34009180.0,-40990820.0,False
215,soldier,soldier.html,75000000.0,14623082.0,14623082.0,-60376918.0,False
216,monkeybone,monkeybone.html,75000000.0,5409517.0,5409517.0,-69590483.0,False
217,unbreakable,unbreakable.html,73243106.0,94999143.0,248099143.0,174856037.0,True
218,sphere,sphere.html,73000000.0,37068294.0,50168294.0,-22831706.0,False
219,funny people,funny-people.html,72500000.0,51855045.0,71880305.0,-619695.0,False
220,the kingdom,three-kings.html,72500000.0,47467250.0,86802457.0,14302457.0,True
221,braveheart,braveheart.html,72000000.0,75545647.0,209045244.0,137045244.0,True
222,the village,"village,-the.html",71682975.0,114197520.0,257641634.0,185958659.0,True
223,signs,signs.html,70702619.0,227969295.0,408269295.0,337566676.0,True
224,who framed roger rabbit?,who-framed-roger-rabbit?.html,70000000.0,154112492.0,351500000.0,281500000.0,True
225,runaway bride,runaway-bride.html,70000000.0,152257509.0,310138178.0,240138178.0,True
226,xxx,xxx.html,70000000.0,141930000.0,267200000.0,197200000.0,True
227,inglourious basterds,inglourious-basterds.html,70000000.0,120774594.0,316915264.0,246915264.0,True
228,die hard 2,die-hard-2.html,70000000.0,117323878.0,239814025.0,169814025.0,True
229,sleepy hollow,sleepy-hollow.html,70000000.0,101068340.0,207068340.0,137068340.0,True
230,vanilla sky,vanilla-sky.html,70000000.0,100614858.0,202726605.0,132726605.0,True
231,battle: los angeles,battle:-los-angeles.html,70000000.0,83552429.0,213463976.0,143463976.0,True
232,war horse,war-horse.html,70000000.0,79883359.0,156815529.0,86815529.0,True
233,big fish,big-fish.html,70000000.0,66432867.0,123954323.0,53954323.0,True
234,the lego ninjago movie,"lego-movie,-the.html",70000000.0,59281555.0,122737201.0,52737201.0,True
235,the guardian,rise-of-the-guardians.html,70000000.0,55011732.0,94973540.0,24973540.0,True
236,the abyss,they.html,70000000.0,54243125.0,54243125.0,-15756875.0,False
237,wall street 2: money never sleeps,wall-street:-money-never-sleeps.html,70000000.0,52474616.0,137431619.0,67431619.0,True
238,rumor has it,rushmore.html,70000000.0,42996140.0,88933562.0,18933562.0,True
239,the siege,"siege,-the.html",70000000.0,40934175.0,116625798.0,46625798.0,True
240,hard rain,hard-rain.html,70000000.0,19870567.0,19870567.0,-50129433.0,False
241,next,next.html,70000000.0,18211013.0,73591500.0,3591500.0,True
242,hall pass,hall-pass.html,68000000.0,45060734.0,87173475.0,19173475.0,True
243,mystery men,mystery-men.html,68000000.0,29762011.0,33462011.0,-34537989.0,False
244,the insider,"insider,-the.html",68000000.0,28965197.0,60265197.0,-7734803.0,False
245,the last legion,hellraiser.html,67000000.0,5932060.0,25357771.0,-41642229.0,False
246,entrapment,entrapment.html,66000000.0,87707396.0,211700000.0,145700000.0,True
247,the x files: fight the future,"x-files:-fight-the-future,-the.html",66000000.0,83898313.0,189176423.0,123176423.0,True
248,need for speed,speed.html,66000000.0,43568507.0,194169619.0,128169619.0,True
249,saving private ryan,saving-private-ryan.html,65000000.0,216335085.0,485035085.0,420035085.0,True
250,lincoln,lincoln.html,65000000.0,182207973.0,273346281.0,208346281.0,True
251,apollo 13,apollo-13.html,65000000.0,173772767.0,335802271.0,270802271.0,True
252,the matrix,terminator.html,65000000.0,171479930.0,463517383.0,398517383.0,True
253,les miserables,les-miserables.html,65000000.0,148809770.0,442169052.0,377169052.0,True
254,total recall,total-recall.html,65000000.0,119394839.0,261400000.0,196400000.0,True
255,you've got mail,you've-got-mail.html,65000000.0,115821495.0,250800000.0,185800000.0,True
256,annie,annie-hall.html,65000000.0,85911262.0,139829625.0,74829625.0,True
257,cliffhanger,cliffhanger.html,65000000.0,84049211.0,255000000.0,190000000.0,True
258,broken arrow,broken-arrow.html,65000000.0,70645997.0,148345997.0,83345997.0,True
259,eyes wide shut,eyes-wide-shut.html,65000000.0,55691208.0,104267443.0,39267443.0,True
260,blade: trinity,blade:-trinity.html,65000000.0,52397389.0,131353165.0,66353165.0,True
261,fight club,fight-club.html,65000000.0,37030102.0,100841550.0,35841550.0,True
262,the long kiss goodnight,"long-kiss-goodnight,-the.html",65000000.0,33447612.0,33447612.0,-31552388.0,False
263,proof of life,"book-of-eli,-the.html",65000000.0,32598931.0,62761005.0,-2238995.0,False
264,"i, frankenstein",frankenstein.html,65000000.0,19075290.0,74575290.0,9575290.0,True
265,hudson hawk,hudson-hawk.html,65000000.0,17218916.0,17218916.0,-47781084.0,False
266,jurassic park,jurassic-park.html,63000000.0,395708305.0,1038812584.0,975812584.0,True
267,the american president,"american-president,-the.html",62000000.0,60022813.0,107822813.0,45822813.0,True
268,the lego movie,"lego-movie,-the.html",60000000.0,257784718.0,457729388.0,397729388.0,True
269,wild hogs,wild-hogs.html,60000000.0,168213584.0,253555383.0,193555383.0,True
270,marley & me,marley-&-me.html,60000000.0,143153751.0,247812011.0,187812011.0,True
271,the green mile,three-kings.html,60000000.0,136801374.0,290701374.0,230701374.0,True
272,the truman show,"truman-show,-the.html",60000000.0,125618201.0,264118201.0,204118201.0,True
273,the bourne identity,"bourne-identity,-the.html",60000000.0,121468960.0,214357371.0,154357371.0,True
274,the italian job,"italian-job,-the.html",60000000.0,106126012.0,176262839.0,116262839.0,True
275,collateral,collateral.html,60000000.0,100170152.0,217670152.0,157670152.0,True
276,antz,antz.html,60000000.0,90757863.0,152457863.0,92457863.0,True
277,man on fire,man-on-fire.html,60000000.0,77906816.0,130968579.0,70968579.0,True
278,the family man,"family-man,-the.html",60000000.0,75764085.0,124715863.0,64715863.0,True
279,the horse whisperer,"horse-whisperer,-the.html",60000000.0,75383563.0,186883563.0,126883563.0,True
280,coraline,coraline.html,60000000.0,75286229.0,126037057.0,66037057.0,True
281,hellboy,hellboy.html,60000000.0,59623958.0,99823958.0,39823958.0,True
282,joy,troy.html,60000000.0,56451232.0,101134059.0,41134059.0,True
283,paranorman,paranorman.html,60000000.0,56003051.0,108119662.0,48119662.0,True
284,the tale of despereaux,field-of-dreams.html,60000000.0,50877145.0,90482317.0,30482317.0,True
285,the boxtrolls,"boxtrolls,-the.html",60000000.0,50837305.0,111946251.0,51946251.0,True
286,the tuxedo,they.html,60000000.0,50586000.0,104429625.0,44429625.0,True
287,vice,miami-vice.html,60000000.0,47836282.0,70893782.0,10893782.0,True
288,alien: resurrection,alien:-resurrection.html,60000000.0,47795018.0,160700000.0,100700000.0,True
289,year one,year-one.html,60000000.0,43337279.0,57604723.0,-2395277.0,False
290,star trek: nemesis,star-trek:-nemesis.html,60000000.0,43254409.0,67312826.0,7312826.0,True
291,invictus,invictus.html,60000000.0,37491364.0,124514011.0,64514011.0,True
292,intolerable cruelty,intolerable-cruelty.html,60000000.0,35327628.0,121327628.0,61327628.0,True
293,the relic,sphere.html,60000000.0,33956608.0,33956608.0,-26043392.0,False
294,almost famous,almost-famous.html,60000000.0,32522352.0,47371191.0,-12628809.0,False
295,analyze that,analyze-that.html,60000000.0,32122249.0,54994757.0,-5005243.0,False
296,the legend of bagger vance,save-the-last-dance.html,60000000.0,30695227.0,39235486.0,-20764514.0,False
297,priest,priest.html,60000000.0,29136626.0,84154026.0,24154026.0,True
298,event horizon,event-horizon.html,60000000.0,26673242.0,26673242.0,-33326758.0,False
299,the avengers,"avengers,-the.html",60000000.0,23385416.0,48585416.0,-11414584.0,False
300,the black dahlia,"black-dahlia,-the.html",60000000.0,22672813.0,49238525.0,-10761475.0,False
301,deadpool,deadpool.html,58000000.0,363070709.0,801025593.0,743025593.0,True
302,american sniper,american-sniper.html,58000000.0,350126372.0,547326372.0,489326372.0,True
303,life,life.html,58000000.0,30234022.0,100929666.0,42929666.0,True
304,sex and the city,sex-and-the-city.html,57500000.0,152647258.0,415247258.0,357747258.0,True
305,devil's advocate,devil's-advocate.html,57000000.0,61007424.0,153007424.0,96007424.0,True
306,into the woods,into-the-woods.html,56200000.0,128002372.0,213116401.0,156916401.0,True
307,the pacifier,"pacifier,-the.html",56000000.0,113006880.0,198006880.0,142006880.0,True
308,walking tall,walking-tall.html,56000000.0,46213824.0,47313824.0,-8686176.0,False
309,forrest gump,forrest-gump.html,55000000.0,330151138.0,679850637.0,624850637.0,True
310,joker,joker.html,55000000.0,256270421.0,747267070.0,692267070.0,True
311,date night,date-night.html,55000000.0,98711404.0,152269033.0,97269033.0,True
